   , Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar , Japan , Hong Kong , China , Taiwan ," Korea, Republic Of ", India , Pakistan , Sri Lanka , Saudi Arabia , Kuwait , UAE , United Kingdom , Germany , France , Italy , Netherlands , Greece , Belgium & Luxembourg , Switzerland , Austria , Scandinavia , CIS & Eastern Europe , USA , Canada , Australia , New Zealand , Africa 
 1978 Jan , na , na , na , na , na , na , na ,"18,652","3,148",56,"1,956",518,"3,383",656,826,367,58,216,"8,512","3,955","2,526","2,266","2,309", na , na ,"2,185", na ,"1,881",433,"8,362","1,328","28,421","3,612",587
 1978 Feb , na , na , na , na , na , na , na ,"20,394","5,805",7,"1,659",493,"3,493",565,681,389,128,224,"9,381","4,484","2,694","2,192","2,345", na , na ,"1,596", na ,"2,112",514,"8,251","1,434","13,982","2,521",354
 1978 Mar , na , na , na , na , na , na , na ,"20,136","4,510",55,"2,460",601,"4,141",657,809,560,287,321,"10,289","5,583","2,771","2,002","2,575", na , na ,"1,461", na ,"2,183",472,"9,901","1,662","16,536","2,727",405
 1978 Apr , na , na , na , na , na , na , na ,"13,508","3,254",11,"2,336",701,"3,431",756,948,538,65,273,"7,470","5,309","3,183","1,677","2,649", na , na ,"1,472", na ,"1,590",405,"11,782","1,586","16,499","3,197",736
 1978 May , na , na , na , na , na , na , na ,"14,472","3,212",3,"2,143",674,"5,272",720,885,488,74,263,"6,557","3,491","2,248","1,028","2,754", na , na ,"1,189", na ,"1,245",431,"13,448","2,025","20,690","5,130",514
 1978 Jun , na , na , na , na , na , na , na ,"12,992","3,589",1,"2,112",645,"4,908",758,823,463,164,395,"5,545","2,806","1,778",830,"2,588", na , na ,853, na ,"1,233",333,"10,585","1,179","17,915","4,478",688
 1978 Jul , na , na , na , na , na , na , na ,"15,363","5,376",11,"2,413",686,"4,220",893,912,758,98,451,"7,688","4,174","4,386","1,195","5,456", na , na ,"1,823", na ,"1,326",465,"10,945","1,665","19,085","5,441",662
 1978 Aug , na , na , na , na , na , na , na ,"24,656","7,059",6,"3,421",595,"4,379",636,946,841,171,442,"8,156","4,834","6,695","3,408","3,883", na , na ,"1,417", na ,"1,209",321,"9,569","1,247","20,802","6,127",617
 1978 Sep , na , na , na , na , na , na , na ,"13,397","3,603",4,"2,269",491,"5,004",516,911,"1,095",141,469,"7,627","4,128","2,980","1,445","3,143", na , na ,"1,383", na ,"1,586",412,"8,839","1,244","19,622","5,970",866
 1978 Oct , na , na , na , na , na , na , na ,"16,897","3,825",17,"2,643",740,"5,775",668,"1,001",606,88,327,"9,354","5,098","2,693","1,254","3,422", na , na ,"2,052", na ,"2,470",688,"14,039","1,525","18,269","4,731",701
 1978 Nov , na , na , na , na , na , na , na ,"21,717","3,865",81,"3,540",876,"6,003",580,"1,017","1,313",287,515,"9,871","6,087","3,075","1,998","2,939", na , na ,"1,903", na ,"2,957",687,"13,027","1,792","14,866","3,241",650
 1978 Dec , na , na , na , na , na , na , na ,"17,087","4,856",13,"3,426",801,"5,807",747,"1,384",697,165,457,"9,347","5,042","2,003","1,618","2,622", na , na ,"1,672", na ,"2,087",539,"7,503","1,373","22,197","4,487",841
 1979 Jan , na , na , na , na , na , na , na ,"20,383","5,485",100,"2,026",639,"5,936",846,"1,100",685,371,439,"10,071","5,510","2,796","2,567","2,943", na , na ,"1,850", na ,"2,271",822,"7,449","1,507","27,175","4,084",729
 1979 Feb , na , na , na , na , na , na , na ,"23,356","5,124",6,"3,604",716,"5,571",759,918,700,690,331,"10,703","5,717","3,042","2,201","2,631", na , na ,"1,506", na ,"2,523",525,"8,378","1,615","13,536","2,503",458
 1979 Mar , na , na , na , na , na , na , na ,"21,471","4,158",13,"4,768",950,"6,446",855,"1,119","1,070",440,472,"11,223","6,372","3,631","2,311","2,924", na , na ,"1,555", na ,"2,807","1,091","10,341","1,595","13,494","3,096",475
 1979 Apr , na , na , na , na , na , na , na ,"16,002","5,180",7,"4,068",970,"6,193",844,"1,237",930,174,522,"9,187","6,841","3,701","1,351","3,164", na , na ,"1,650", na ,"2,094",860,"10,040","1,482","15,280","3,941",878
 1979 May , na , na , na , na , na , na , na ,"17,023","3,876",3,"4,243","1,096","7,174","1,081","1,082",847,151,450,"7,641","3,992","2,484","1,124","3,207", na , na ,"1,366", na ,"1,726",682,"10,487","1,567","19,273","5,961",698
 1979 Jun , na , na , na , na , na , na , na ,"18,307","3,920",13,"3,403",944,"5,959","1,042","1,068",967,217,507,"7,452","3,746","2,779","1,182","3,531", na , na ,"1,179", na ,"1,612","1,059","9,499","1,182","16,574","6,133",601
 1979 Jul , na , na , na , na , na , na , na ,"20,061","6,209",40,"5,308","1,015","5,198","1,167","1,075","1,153",260,624,"8,952","4,534","5,306","1,498","5,720", na , na ,"1,722", na ,"1,714","1,094","10,154","1,450","16,105","6,692",703
 1979 Aug , na , na , na , na , na , na , na ,"28,200","7,965",21,"5,883",924,"4,424",937,"1,165","1,584",284,623,"9,714","5,164","6,525","3,688","4,245", na , na ,"1,518", na ,"1,593",827,"9,686","1,368","19,293","7,637",707
 1979 Sep , na , na , na , na , na , na , na ,"20,267","4,702",14,"4,119","1,162","5,406",829,"1,213","1,480",206,457,"9,009","3,930","3,023","1,302","3,231", na , na ,"1,236", na ,"1,670","1,066","8,660","1,144","18,890","6,642",818
 1979 Oct , na , na , na , na , na , na , na ,"20,282","5,052",42,"4,129","1,313","5,930",903,993,"1,905",247,516,"11,243","5,788","3,064","1,477","3,534", na , na ,"1,722", na ,"2,624","1,048","13,159","1,474","15,967","5,609",831
 1979 Nov , na , na , na , na , na , na , na ,"24,247","4,525",75,"4,891","1,221","5,550",720,"1,122","1,444",239,501,"11,880","6,773","3,116","2,017","3,667", na , na ,"2,215", na ,"3,273","1,162","12,384","1,955","13,017","3,758",671
 1979 Dec , na , na , na , na , na , na , na ,"20,656","6,468",32,"5,254","1,170","6,608",985,"1,369","1,164",169,486,"10,274","5,173","2,574","2,042","3,421", na , na ,"1,782", na ,"2,719","1,166","8,507","1,546","17,758","4,731","1,109"
 1980 Jan , na , na , na , na , na , na , na ,"26,727","4,367",42,"3,611","1,111","6,106",967,"1,102","1,097",286,447,"11,204","5,593","3,035","2,603","3,402", na , na ,"1,969", na ,"2,780",952,"8,842","1,601","26,663","4,383","1,016"
 1980 Feb , na , na , na , na , na , na , na ,"25,617","9,913",81,"5,334","1,075","5,355",864,"1,039","1,173",459,390,"11,725","5,604","2,525","2,504","3,037", na , na ,"1,777", na ,"3,023",896,"10,059","2,085","14,784","3,138",626
 1980 Mar , na , na , na , na , na , na , na ,"27,366","5,638",69,"5,666","1,257","5,980","1,061","1,247","1,214",615,509,"12,924","6,871","3,591","2,700","3,846", na , na ,"2,063", na ,"3,187",997,"11,681","1,962","15,724","3,442",702
 1980 Apr , na , na , na , na , na , na , na ,"18,765","6,770",73,"4,107","1,334","6,056","1,291","1,181","1,379",172,495,"10,181","6,187","2,940","1,431","3,150", na , na ,"1,561", na ,"2,505","1,074","10,638","1,618","18,424","3,892",947
 1980 May , na , na , na , na , na , na , na ,"21,310","5,237",52,"4,740","1,550","10,443","1,187","1,272","1,257",150,469,"8,332","4,854","3,034","1,540","3,531", na , na ,"1,259", na ,"1,959","1,009","11,127","1,686","19,606","6,456",762
 1980 Jun , na , na , na , na , na , na , na ,"17,557","5,561",21,"3,424","1,256","8,505","1,227","1,152","1,807",278,599,"7,517","4,370","2,469","1,294","4,277", na , na ,"1,363", na ,"2,002",764,"10,870","1,359","18,937","6,538",713
 1980 Jul , na , na , na , na , na , na , na ,"22,182","8,915",36,"5,309","1,157","6,654","1,531","1,228","2,018",221,718,"10,285","6,232","3,988","1,875","6,322", na , na ,"2,039", na ,"1,939",960,"11,374","1,806","21,202","6,982",867
 1980 Aug , na , na , na , na , na , na , na ,"33,648","11,089",42,"5,220","1,154","6,064","1,110","1,247","2,354",302,828,"11,277","6,826","6,099","4,310","4,698", na , na ,"1,593", na ,"1,974",495,"11,096","1,626","20,401","7,751",995
 1980 Sep , na , na , na , na , na , na , na ,"23,173","5,916",45,"3,668","1,116","6,445","1,626","1,130","1,394",230,568,"9,817","5,144","3,277","1,447","3,878", na , na ,"1,264", na ,"2,145",528,"10,553","1,301","20,269","6,751",938
 1980 Oct , na , na , na , na , na , na , na ,"20,085","5,913",47,"4,388","1,293","8,028","1,227","1,416","2,226",196,559,"12,421","6,686","3,292","1,671","3,821", na , na ,"2,281", na ,"3,276","1,012","14,576","1,886","21,348","5,276",990
 1980 Nov , na , na , na , na , na , na , na ,"26,036","5,342",41,"4,812","1,426","6,663","1,300","1,703","1,102",125,397,"11,088","7,453","3,676","2,098","3,991", na , na ,"2,357", na ,"3,977",720,"15,306","2,132","19,458","4,204",817
 1980 Dec , na , na , na , na , na , na , na ,"24,929","7,821",90,"6,049","1,545","9,163","1,676","1,761","1,504",181,527,"11,586","7,219","2,310","2,867","3,184", na , na ,"2,446", na ,"3,331",511,"9,643","1,813","22,370","4,230","1,122"
 1981 Jan , na , na , na , na , na , na , na ,"30,147","5,271",49,"3,753","1,462","8,335","1,475","1,268","1,343",253,549,"11,556","8,369","2,769","2,826","4,160", na ,656,"2,706", na ,"3,955",338,"10,001","2,177","26,757","4,517","1,497"
 1981 Feb , na , na , na , na , na , na , na ,"31,356","11,199",42,"7,289","1,217","7,214","1,127","1,131","1,374",296,442,"12,097","6,613","2,759","2,147","3,680", na ,682,"2,053", na ,"3,673",521,"12,194","2,197","17,795","2,926",698
